rule_name,pattern,expected_flag,run,verdict
gen002_added_exclusion,added_exclusion,yes,1,True
gen002_added_exclusion,added_exclusion,yes,2,True
gen002_added_exclusion,added_exclusion,yes,3,True
gen002_added_exclusion,added_exclusion,yes,4,True
gen002_added_exclusion,added_exclusion,yes,5,True
gen007_added_exclusion,added_exclusion,yes,1,True
gen007_added_exclusion,added_exclusion,yes,2,True
gen007_added_exclusion,added_exclusion,yes,3,True
gen007_added_exclusion,added_exclusion,yes,4,True
gen007_added_exclusion,added_exclusion,yes,5,True
gen013_added_exclusion,added_exclusion,yes,1,True
gen013_added_exclusion,added_exclusion,yes,2,True
gen013_added_exclusion,added_exclusion,yes,3,True
gen013_added_exclusion,added_exclusion,yes,4,True
gen013_added_exclusion,added_exclusion,yes,5,True
gen018_added_exclusion,added_exclusion,yes,1,True
gen018_added_exclusion,added_exclusion,yes,2,True
gen018_added_exclusion,added_exclusion,yes,3,True
gen018_added_exclusion,added_exclusion,yes,4,True
gen018_added_exclusion,added_exclusion,yes,5,True
gen004_cosmetic_edit,cosmetic_edit,no,1,False
gen004_cosmetic_edit,cosmetic_edit,no,2,False
gen004_cosmetic_edit,cosmetic_edit,no,3,False
gen004_cosmetic_edit,cosmetic_edit,no,4,False
gen004_cosmetic_edit,cosmetic_edit,no,5,False
gen010_cosmetic_edit,cosmetic_edit,no,1,False
gen010_cosmetic_edit,cosmetic_edit,no,2,False
gen010_cosmetic_edit,cosmetic_edit,no,3,False
gen010_cosmetic_edit,cosmetic_edit,no,4,False
gen010_cosmetic_edit,cosmetic_edit,no,5,False
gen015_cosmetic_edit,cosmetic_edit,no,1,False
gen015_cosmetic_edit,cosmetic_edit,no,2,False
gen015_cosmetic_edit,cosmetic_edit,no,3,False
gen015_cosmetic_edit,cosmetic_edit,no,4,False
gen015_cosmetic_edit,cosmetic_edit,no,5,False
gen021_cosmetic_edit,cosmetic_edit,no,1,False
gen021_cosmetic_edit,cosmetic_edit,no,2,False
gen021_cosmetic_edit,cosmetic_edit,no,3,False
gen021_cosmetic_edit,cosmetic_edit,no,4,False
gen021_cosmetic_edit,cosmetic_edit,no,5,False
gen001_logsource_drift,logsource_drift,yes,1,True
gen001_logsource_drift,logsource_drift,yes,2,True
gen001_logsource_drift,logsource_drift,yes,3,True
gen001_logsource_drift,logsource_drift,yes,4,True
gen001_logsource_drift,logsource_drift,yes,5,True
gen006_logsource_drift,logsource_drift,yes,1,True
gen006_logsource_drift,logsource_drift,yes,2,True
gen006_logsource_drift,logsource_drift,yes,3,True
gen006_logsource_drift,logsource_drift,yes,4,True
gen006_logsource_drift,logsource_drift,yes,5,True
gen012_logsource_drift,logsource_drift,yes,1,True
gen012_logsource_drift,logsource_drift,yes,2,True
gen012_logsource_drift,logsource_drift,yes,3,True
gen012_logsource_drift,logsource_drift,yes,4,True
gen012_logsource_drift,logsource_drift,yes,5,True
gen017_logsource_drift,logsource_drift,yes,1,True
gen017_logsource_drift,logsource_drift,yes,2,True
gen017_logsource_drift,logsource_drift,yes,3,True
gen017_logsource_drift,logsource_drift,yes,4,True
gen017_logsource_drift,logsource_drift,yes,5,True
gen005_narrowed_match,narrowed_match,yes,1,True
gen005_narrowed_match,narrowed_match,yes,2,True
gen005_narrowed_match,narrowed_match,yes,3,True
gen005_narrowed_match,narrowed_match,yes,4,True
gen005_narrowed_match,narrowed_match,yes,5,True
gen016_narrowed_match,narrowed_match,yes,1,True
gen016_narrowed_match,narrowed_match,yes,2,True
gen016_narrowed_match,narrowed_match,yes,3,True
gen016_narrowed_match,narrowed_match,yes,4,True
gen016_narrowed_match,narrowed_match,yes,5,True
gen023_narrowed_match,narrowed_match,yes,1,True
gen023_narrowed_match,narrowed_match,yes,2,True
gen023_narrowed_match,narrowed_match,yes,3,True
gen023_narrowed_match,narrowed_match,yes,4,True
gen023_narrowed_match,narrowed_match,yes,5,True
gen030_narrowed_match,narrowed_match,yes,1,True
gen030_narrowed_match,narrowed_match,yes,2,True
gen030_narrowed_match,narrowed_match,yes,3,True
gen030_narrowed_match,narrowed_match,yes,4,True
gen030_narrowed_match,narrowed_match,yes,5,True
gen011_strengthened,strengthened,no,1,False
gen011_strengthened,strengthened,no,2,False
gen011_strengthened,strengthened,no,3,False
gen011_strengthened,strengthened,no,4,False
gen011_strengthened,strengthened,no,5,False
gen022_strengthened,strengthened,no,1,False
gen022_strengthened,strengthened,no,2,False
gen022_strengthened,strengthened,no,3,False
gen022_strengthened,strengthened,no,4,False
gen022_strengthened,strengthened,no,5,False
gen029_strengthened,strengthened,no,1,False
gen029_strengthened,strengthened,no,2,False
gen029_strengthened,strengthened,no,3,False
gen029_strengthened,strengthened,no,4,False
gen029_strengthened,strengthened,no,5,False
gen035_strengthened,strengthened,no,1,False
gen035_strengthened,strengthened,no,2,False
gen035_strengthened,strengthened,no,3,False
gen035_strengthened,strengthened,no,4,False
gen035_strengthened,strengthened,no,5,False
gen003_unchanged,unchanged,no,1,False
gen003_unchanged,unchanged,no,2,False
gen003_unchanged,unchanged,no,3,False
gen003_unchanged,unchanged,no,4,False
gen003_unchanged,unchanged,no,5,False
gen009_unchanged,unchanged,no,1,False
gen009_unchanged,unchanged,no,2,False
gen009_unchanged,unchanged,no,3,False
gen009_unchanged,unchanged,no,4,False
gen009_unchanged,unchanged,no,5,False
gen014_unchanged,unchanged,no,1,False
gen014_unchanged,unchanged,no,2,False
gen014_unchanged,unchanged,no,3,False
